,genre,price,rating,sales/million,title
0,science,205.99,5.0,1.0,A
1,crime,80.49,3.5,3.0,B
2,science,120.0,4.4,4.0,C
3,politics,45.5,4.9,10.0,D
4,science,19.99,5.0,14.0,E
5,cooking,40.0,4.8,8.0,F
6,cooking,5.99,3.2,12.0,G
7,sci-fi,10.5,3.9,15.0,H
8,religion,34.5,4.1,25.0,I
9,religion,2.99,4.9,19.0,J
10,sci-fi,8.99,4.0,20.0,K
11,science,12.99,2.5,3.0,L
12,cooking,10.0,4.3,7.0,M
13,sci-fi,8.5,4.6,4.0,N
14,crime,4.99,4.1,9.0,O
15,politics,99.5,4.2,15.0,P
16,crime,77.99,4.1,14.5,Q
17,crime,50.0,4.6,3.2,R
18,science,14.99,1.2,8.0,S
19,crime,20.0,3.8,17.7,T
