,AAPL,AMZN,MSFT,month
2016-01-03,116,188,64,JAN
2016-01-10,135,210,50,JAN
2016-01-17,58,235,85,JAN
2016-01-24,145,119,89,JAN
2016-01-31,115,162,104,JAN
2016-02-07,102,228,83,FEB
2016-02-14,133,115,51,FEB
2016-02-21,146,185,59,FEB
2016-02-28,96,223,54,FEB
2016-03-06,84,144,133,MAR
2016-03-13,102,223,84,MAR
2016-03-20,110,224,121,MAR
2016-03-27,104,118,87,MAR
2016-04-03,53,119,131,APR
2016-04-10,144,128,60,APR
2016-04-17,102,121,111,APR
2016-04-24,107,208,130,APR
2016-05-01,125,158,52,MAY
2016-05-08,138,187,80,MAY
2016-05-15,89,167,94,MAY
2016-05-22,71,200,119,MAY
2016-05-29,91,173,84,MAY
2016-06-05,105,129,117,JUN
2016-06-12,133,194,111,JUN
2016-06-19,144,107,52,JUN
2016-06-26,63,190,106,JUN
2016-07-03,101,189,128,JUL
2016-07-10,60,169,116,JUL
2016-07-17,53,168,86,JUL
2016-07-24,118,144,52,JUL
2016-07-31,132,113,53,JUL
2016-08-07,64,131,148,AUG
2016-08-14,137,206,101,AUG
2016-08-21,144,109,61,AUG
2016-08-28,126,161,72,AUG
2016-09-04,80,143,91,SEP
2016-09-11,86,239,130,SEP
2016-09-18,54,174,67,SEP
2016-09-25,91,236,128,SEP
2016-10-02,95,239,92,OCT
2016-10-09,138,217,81,OCT
2016-10-16,126,180,114,OCT
2016-10-23,66,192,85,OCT
2016-10-30,57,125,76,OCT
2016-11-06,113,154,116,NOV
2016-11-13,51,146,115,NOV
2016-11-20,101,154,65,NOV
2016-11-27,62,108,88,NOV
2016-12-04,84,155,105,DEC
2016-12-11,51,134,102,DEC
2016-12-18,121,209,141,DEC
2016-12-25,63,236,90,DEC
